1,24,100,100,63,41,13700,1120,9196,667,-2247,481
1,17,100,100,54,40,14948,1096,7496,-168,-128,-223
1,18,100,100,58,40,14904,1236,7676,-182,83,-113
1,19,100,100,60,38,14756,1040,7364,-973,46,-835
1,19,100,100,65,39,14372,648,7532,485,1986,249
1,20,100,100,65,38,13712,1064,9628,-241,129,88
1,21,100,100,65,38,13648,1316,9520,-275,-115,-79
1,22,100,100,63,38,13752,1224,9340,-379,-47,-54
1,22,100,100,63,38,13736,1088,9188,-337,-15,-140
1,22,100,100,65,39,13780,1144,9116,-326,-16,-105
1,22,100,100,67,40,13840,1224,9160,-370,25,-137
1,23,100,100,69,34,13780,1112,9424,-306,-41,-97
1,23,100,100,69,37,13828,1048,9240,-319,-29,-226
1,24,100,100,84,41,13692,1276,9280,-390,-115,-14
1,25,100,100,78,42,14024,932,8452,2844,333,1517
1,25,100,100,76,42,14200,2088,8628,-234,-1224,-78
1,23,100,100,69,40,14416,2588,7792,-369,1,47
1,24,100,100,71,40,14736,2960,7008,-878,-887,-508
1,23,100,100,67,38,14800,2884,7216,-330,-115,-35
1,23,100,100,67,39,14716,2824,7148,-427,212,-118
1,22,100,100,67,37,14776,2752,7156,-240,-147,1
1,23,100,100,69,37,14800,2696,7244,-306,-3,-120
1,23,100,100,65,36,14700,2700,7316,-321,-48,-77
1,23,100,100,63,33,14804,2696,7168,-361,72,-146
1,23,100,100,63,33,14676,2724,7188,-389,-169,-88
1,21,100,100,65,35,14816,2616,7468,-368,0,-82
1,20,100,100,78,44,14744,2632,7384,-359,43,-87
1,22,100,100,89,38,14700,2608,7324,-470,-45,-107
1,21,100,100,82,38,14852,2532,7308,-322,-61,-104
1,22,100,100,76,40,14796,2488,7280,-290,-171,54
1,23,100,100,65,40,10328,2544,12532,-2806,-642,-783
1,22,100,100,65,32,10944,2232,11764,-2393,-6601,791
1,22,100,100,58,36,14328,1812,8272,-244,-442,-86
1,23,100,100,63,37,14504,2088,8544,-219,-133,-78
1,22,100,100,65,38,14204,1992,8164,-220,85,-6
1,23,100,100,80,37,14404,1852,8132,-390,-24,-146
1,23,100,100,69,39,14168,1964,8408,-394,12,-128
1,23,100,100,69,39,14120,2016,8476,-333,-85,-118
1,23,100,100,69,37,14108,1984,8316,-17,36,90
1,23,100,100,67,37,14160,2136,8484,-311,54,-163
1,23,100,100,63,38,14112,2044,8516,-361,29,-91
1,22,100,100,65,38,14404,1944,8456,-384,79,-112
1,22,100,100,65,38,14032,1932,8500,-345,46,-97
1,18,100,100,45,43,14092,1856,8812,-201,116,-37
1,20,100,100,54,45,14480,2608,8464,-313,1006,292
1,21,100,100,56,42,14620,1180,7868,50,535,139
1,22,100,100,56,40,14424,1752,7728,-158,-122,390
