7,30,29,66,32,59,11376,1020,11780,-321,101,-165
7,31,29,66,31,59,11772,1376,11704,-332,-92,-30
7,31,31,65,31,55,11656,1132,11764,-409,-106,-166
7,31,31,64,30,56,11652,1072,11676,-231,-209,-265
7,31,31,64,30,57,11704,1392,11500,-406,-170,-328
7,31,30,64,30,56,11584,1336,11672,-347,-73,-305
7,31,29,63,30,59,11604,1320,11556,-311,-64,-215
7,32,37,66,32,61,11628,1444,11680,-341,-24,-136
7,32,35,65,31,60,11656,1416,11688,-375,-63,-146
7,31,33,64,31,59,11700,1480,11576,-400,-80,-144
7,31,33,64,30,61,11520,1296,11576,-336,-13,-120
7,31,31,62,31,60,11872,1324,11472,-270,-6,-160
7,32,31,62,33,61,11608,1308,11620,-358,145,-91
7,31,31,62,34,61,11596,1312,11768,-330,29,-37
7,31,31,63,31,60,11628,1484,11672,-399,-45,-69
7,33,31,64,33,60,11644,1292,11592,-401,-29,-86
7,31,27,56,37,46,11812,1132,11620,-313,-16,-176
7,31,28,58,34,51,11596,1352,11704,-376,-14,-205
7,35,29,60,32,55,11408,1296,11640,-344,-53,-100
7,33,21,61,31,55,11688,1184,11652,-332,-43,-110
7,33,25,62,31,49,11636,1264,11624,-236,-76,-110
7,33,27,62,31,54,11656,1336,11496,-356,-35,-174
7,32,28,62,31,56,11568,1444,11564,-309,7,-119
7,32,29,63,31,56,11684,1404,11484,-326,2,-55
7,32,29,63,29,53,11620,1200,11572,-404,-18,-104
7,31,33,63,29,56,11688,1304,11644,-326,-41,-165
7,31,32,63,31,57,11612,1492,11656,-331,-4,-219
7,31,31,64,31,57,11712,1272,11616,-313,-58,-135
7,32,31,63,30,58,11672,1356,11500,-360,-89,-65
7,31,31,60,30,65,11632,1412,11596,-422,-34,-117
