Don't Understand,0.785,0.685,0.796,0.420,0.645,0.03,0.49,0.70,-14.95,71.25,14.86
Don't Understand,0.789,0.691,0.809,0.425,0.653,0.91,-0.64,0.02,-250.14,-137.07,-216.86
Don't Understand,0.790,0.687,0.807,0.412,0.650,-0.63,-0.62,1.45,32.44,7.50,19.92
Don't Understand,0.786,0.692,0.799,0.404,0.648,-0.19,-0.42,0.89,1.49,13.31,1.55
Don't Understand,0.784,0.688,0.800,0.413,0.648,-0.21,-0.34,0.89,-0.14,-9.61,-1.60
Don't Understand,0.784,0.676,0.794,0.419,0.648,-0.15,-0.36,0.89,-7.00,-4.21,-5.90
Don't Understand,0.789,0.672,0.788,0.433,0.644,-0.15,-0.36,0.90,-3.27,-1.68,2.11
Don't Understand,0.812,0.674,0.782,0.481,0.634,-0.13,-0.34,0.89,-3.18,4.16,-1.48
Don't Understand,0.804,0.669,0.791,0.457,0.633,-0.11,-0.35,0.88,-4.11,2.10,-1.50
Don't Understand,0.794,0.668,0.791,0.457,0.634,-0.10,-0.33,0.91,2.33,-19.33,-14.79
Don't Understand,0.790,0.675,0.783,0.440,0.644,-0.12,-0.35,0.93,-9.15,1.93,-4.54
Don't Understand,0.789,0.662,0.771,0.438,0.648,-0.08,-0.36,0.89,-1.40,-9.56,-0.08
Don't Understand,0.792,0.674,0.770,0.427,0.642,-0.07,-0.36,0.90,-7.52,-3.18,-1.06
Don't Understand,0.799,0.671,0.750,0.334,0.541,-0.08,-0.40,0.90,-4.24,5.10,-2.32
Don't Understand,0.788,0.645,0.724,0.351,0.530,-0.07,-0.39,0.93,-5.52,2.87,-3.76
Don't Understand,0.792,0.648,0.727,0.366,0.546,-0.08,-0.36,0.90,-3.08,3.41,-6.95
Don't Understand,0.790,0.646,0.737,0.368,0.560,-0.10,-0.41,0.93,-1.30,-3.02,-3.09
Don't Understand,0.787,0.658,0.751,0.386,0.571,-0.07,-0.33,0.93,-3.35,6.87,-12.70
Don't Understand,0.788,0.662,0.754,0.401,0.579,-0.13,-0.34,0.98,-2.29,7.26,2.12
Don't Understand,0.789,0.673,0.763,0.411,0.588,-0.07,-0.31,0.91,-7.63,5.85,3.04
Don't Understand,0.798,0.676,0.703,0.407,0.603,-0.09,-0.34,0.91,-5.52,-5.81,12.21
Don't Understand,0.809,0.641,0.671,0.411,0.607,-0.05,-0.35,0.92,-5.34,3.15,5.19
Don't Understand,0.810,0.653,0.691,0.388,0.615,-0.05,-0.34,0.90,-6.71,2.69,9.52
Don't Understand,0.810,0.665,0.711,0.398,0.633,-0.10,-0.40,0.90,-11.07,-10.98,15.82
Don't Understand,0.803,0.677,0.717,0.404,0.634,-0.08,-0.40,0.87,-3.53,-1.79,6.22
Don't Understand,0.792,0.679,0.738,0.390,0.633,-0.08,-0.39,0.91,-1.15,-5.71,1.21
Don't Understand,0.798,0.684,0.747,0.381,0.641,-0.05,-0.38,0.91,-2.01,-2.95,-0.38
Don't Understand,0.790,0.699,0.731,0.363,0.666,-0.03,-0.38,0.90,-2.89,4.24,-1.81
Don't Understand,0.797,0.718,0.747,0.372,0.663,0.00,-0.39,0.89,-1.68,-3.56,-8.35
Don't Understand,0.781,0.717,0.750,0.371,0.661,0.00,-0.38,0.87,-3.14,0.98,-7.95
