p,0.515,0.380,0.318,0.467,0.745,-0.83,0.39,0.37,13.08,-12.52,-38.64
p,0.511,0.389,0.304,0.469,0.719,-0.80,0.36,0.30,27.76,-23.38,-32.69
p,0.507,0.388,0.291,0.474,0.703,-0.79,0.37,0.32,24.25,-12.79,-24.38
p,0.502,0.389,0.289,0.479,0.778,-0.76,0.37,0.32,31.95,-3.54,-14.89
p,0.508,0.277,0.276,0.478,0.784,-0.76,0.37,0.34,28.32,-0.82,-2.38
p,0.508,0.288,0.280,0.482,0.766,-0.75,0.34,0.31,42.01,6.34,2.53
p,0.503,0.309,0.283,0.478,0.751,-0.84,0.44,0.36,20.18,22.65,-12.60
p,0.501,0.317,0.279,0.483,0.725,-0.87,0.43,0.38,-4.98,10.56,-19.14
p,0.500,0.322,0.277,0.485,0.705,-0.87,0.39,0.34,-12.43,-0.62,-14.27
p,0.498,0.324,0.281,0.453,0.691,-0.86,0.33,0.31,-4.51,-4.15,-5.60
p,0.497,0.324,0.282,0.451,0.684,-0.83,0.33,0.28,-2.68,1.31,-7.06
p,0.495,0.326,0.281,0.456,0.671,-0.82,0.34,0.29,1.92,1.95,-8.93
p,0.495,0.328,0.291,0.465,0.689,-0.85,0.39,0.31,-6.22,4.15,-8.94
p,0.499,0.343,0.287,0.452,0.697,-0.86,0.36,0.31,-10.73,-1.61,-0.44
p,0.495,0.346,0.282,0.427,0.687,-0.85,0.34,0.31,-2.72,3.18,6.07
p,0.494,0.347,0.288,0.426,0.678,-0.85,0.35,0.32,-8.53,3.24,1.32
p,0.482,0.354,0.290,0.289,0.664,-0.84,0.33,0.32,-7.96,4.73,-3.76
p,0.483,0.354,0.285,0.298,0.663,-0.85,0.32,0.32,-1.47,3.79,-3.96
p,0.482,0.360,0.279,0.330,0.636,-0.85,0.33,0.31,-2.25,2.37,-5.14
p,0.486,0.353,0.282,0.355,0.641,-0.84,0.33,0.30,-7.76,2.82,-5.76
p,0.487,0.350,0.282,0.402,0.653,-0.83,0.34,0.29,-5.50,8.18,-1.50
p,0.483,0.346,0.294,0.405,0.665,-0.84,0.33,0.29,-6.20,5.78,0.44
p,0.487,0.353,0.280,0.414,0.651,-0.86,0.32,0.29,-7.78,7.87,0.85
p,0.489,0.353,0.280,0.414,0.652,-0.87,0.34,0.29,-5.31,4.63,1.66
p,0.492,0.337,0.279,0.418,0.643,-0.88,0.30,0.30,-7.11,3.58,-0.66
p,0.490,0.360,0.276,0.417,0.660,-0.87,0.33,0.29,-7.05,2.85,-1.60
p,0.493,0.349,0.275,0.419,0.649,-0.87,0.32,0.30,-9.71,3.87,-4.36
p,0.489,0.358,0.285,0.427,0.663,-0.86,0.32,0.29,-9.94,3.22,-4.80
p,0.484,0.383,0.282,0.436,0.665,-0.86,0.32,0.29,-6.59,3.95,-3.60
p,0.488,0.362,0.282,0.434,0.668,-0.85,0.30,0.27,-4.27,2.61,-2.08
