s,0.541,0.500,0.347,0.515,0.687,1.00,-0.02,0.23,-2.45,0.73,-0.66
s,0.541,0.488,0.336,0.513,0.686,0.99,-0.03,0.23,-1.89,0.22,0.11
s,0.545,0.498,0.333,0.524,0.711,1.00,-0.04,0.24,-2.84,0.37,-0.52
s,0.545,0.503,0.333,0.517,0.705,1.00,-0.04,0.26,-3.01,0.08,-1.69
s,0.545,0.485,0.346,0.499,0.707,1.00,-0.03,0.24,-2.62,-1.11,-2.17
s,0.548,0.484,0.356,0.485,0.733,1.00,-0.01,0.23,-2.55,-0.83,-1.24
s,0.544,0.499,0.356,0.501,0.731,0.99,-0.03,0.23,-3.25,-0.09,-0.55
s,0.548,0.475,0.353,0.510,0.722,1.01,-0.03,0.24,-2.82,0.09,-1.08
s,0.547,0.490,0.343,0.509,0.708,1.00,-0.03,0.23,-2.66,-0.34,-1.51
s,0.547,0.491,0.333,0.519,0.710,1.00,-0.02,0.23,-2.70,-0.65,-0.81
s,0.547,0.500,0.323,0.477,0.715,1.01,-0.03,0.24,-2.53,0.10,-0.15
s,0.549,0.502,0.321,0.471,0.705,1.00,-0.03,0.23,-2.60,0.35,-0.64
s,0.552,0.481,0.331,0.464,0.717,1.00,-0.04,0.24,-3.31,0.63,-1.36
s,0.546,0.471,0.336,0.448,0.708,1.01,-0.03,0.23,-2.54,-1.04,-1.31
s,0.541,0.478,0.333,0.460,0.680,1.01,-0.03,0.22,-2.73,-0.62,-0.69
s,0.540,0.479,0.332,0.469,0.687,1.00,-0.03,0.22,-2.81,-0.33,-0.59
s,0.541,0.481,0.331,0.450,0.673,1.01,-0.02,0.23,-2.44,0.48,-0.50
s,0.546,0.497,0.328,0.450,0.692,0.99,-0.03,0.24,-2.63,-0.16,-0.75
s,0.542,0.464,0.329,0.480,0.631,1.01,-0.03,0.25,-2.90,-1.21,-0.98
s,0.539,0.477,0.323,0.458,0.625,1.00,-0.04,0.23,-2.87,-1.14,-1.16
s,0.543,0.481,0.325,0.444,0.619,1.01,-0.02,0.22,-2.77,0.01,-0.66
s,0.548,0.485,0.328,0.448,0.640,1.01,-0.03,0.23,-1.96,1.13,-0.93
s,0.551,0.465,0.324,0.473,0.598,1.01,-0.03,0.23,-2.80,0.69,-0.72
s,0.555,0.473,0.333,0.466,0.653,1.00,-0.03,0.24,-2.12,-0.34,-0.79
s,0.558,0.478,0.335,0.470,0.647,1.01,-0.03,0.23,-2.91,0.01,-0.24
s,0.551,0.479,0.332,0.477,0.672,1.00,-0.03,0.24,-3.05,-0.16,-0.90
s,0.568,0.486,0.358,0.470,0.670,1.01,-0.03,0.23,-2.53,-1.15,-0.86
s,0.563,0.496,0.359,0.459,0.644,1.01,-0.03,0.23,-2.53,-0.55,-1.09
s,0.556,0.497,0.362,0.468,0.623,1.01,-0.02,0.23,-2.97,0.30,-0.55
s,0.559,0.497,0.348,0.490,0.640,1.01,-0.02,0.22,-2.28,0.47,-0.49
