s,0.972,0.534,0.867,0.782,0.714,0.94,0.22,0.34,-2.05,0.04,0.02
s,0.956,0.526,0.815,0.806,0.736,0.94,0.23,0.34,-1.14,-1.44,0.15
s,0.938,0.519,0.825,0.797,0.722,0.93,0.22,0.34,-2.33,-0.34,0.11
s,0.926,0.527,0.821,0.791,0.717,0.93,0.23,0.34,-2.50,1.97,-1.03
s,0.921,0.531,0.822,0.800,0.717,0.94,0.23,0.36,-2.47,0.45,-0.41
s,0.910,0.533,0.841,0.790,0.706,0.93,0.22,0.34,-2.49,-0.40,-0.35
s,0.924,0.533,0.850,0.785,0.700,0.93,0.22,0.34,-0.46,0.65,-1.63
s,0.914,0.535,0.864,0.782,0.645,0.93,0.24,0.35,-1.56,0.82,-1.80
s,0.925,0.534,0.847,0.781,0.641,0.95,0.21,0.34,-2.33,0.18,-2.47
s,0.934,0.559,0.839,0.771,0.709,0.94,0.23,0.35,-4.56,1.09,-3.03
s,0.946,0.549,0.823,0.770,0.706,0.94,0.23,0.33,-3.79,0.58,-2.07
s,0.933,0.549,0.824,0.774,0.709,0.94,0.23,0.35,-3.79,1.28,-0.63
s,0.946,0.537,0.845,0.777,0.712,0.94,0.22,0.34,-2.46,1.11,-1.18
s,0.960,0.535,0.856,0.776,0.709,0.93,0.22,0.35,-4.22,1.03,-2.02
s,0.848,0.537,0.839,0.773,0.702,0.95,0.24,0.35,-3.05,0.11,-1.73
s,0.853,0.546,0.831,0.767,0.693,0.93,0.23,0.35,-2.64,-0.84,-0.24
s,0.881,0.551,0.847,0.764,0.684,0.94,0.23,0.35,-1.94,-0.56,-0.56
s,0.879,0.548,0.902,0.789,0.617,0.94,0.23,0.35,-2.92,0.35,-1.37
s,0.889,0.537,0.887,0.784,0.621,0.93,0.24,0.35,-3.08,0.16,-1.05
s,0.886,0.537,0.889,0.782,0.635,0.93,0.22,0.35,-3.15,-0.14,-1.42
s,0.912,0.510,0.880,0.772,0.659,0.94,0.22,0.34,-3.63,0.10,-1.68
s,0.901,0.781,0.877,0.779,0.668,0.92,0.24,0.35,-3.33,0.86,-1.95
s,0.913,0.748,0.864,0.775,0.685,0.94,0.24,0.35,-2.80,0.25,-1.06
s,0.891,0.717,0.883,0.773,0.690,0.93,0.24,0.35,-2.75,-0.33,-1.17
s,0.911,0.693,0.889,0.770,0.718,0.93,0.23,0.35,-2.73,-0.24,-1.21
s,0.927,0.672,0.877,0.783,0.712,0.93,0.25,0.34,-2.93,1.01,-0.84
s,0.931,0.649,0.864,0.785,0.691,0.93,0.24,0.35,-2.35,0.26,-0.40
s,0.933,0.625,0.876,0.778,0.709,0.94,0.22,0.35,-2.99,0.44,-0.82
s,0.938,0.602,0.869,0.822,0.721,0.93,0.24,0.35,-3.04,-0.59,-1.10
s,0.948,0.595,0.931,0.823,0.712,0.92,0.23,0.35,-3.65,0.27,-0.31
