g,0.478,0.431,0.388,0.521,0.753,0.53,0.73,0.44,-3.17,0.19,-1.05
g,0.480,0.428,0.384,0.502,0.768,0.53,0.73,0.43,-2.04,-0.03,-0.90
g,0.478,0.414,0.386,0.490,0.754,0.52,0.73,0.42,-2.56,0.60,-1.25
g,0.482,0.414,0.385,0.476,0.774,0.51,0.73,0.44,-2.11,0.40,-0.63
g,0.481,0.402,0.392,0.483,0.755,0.53,0.74,0.43,-2.47,-0.69,-1.41
g,0.485,0.410,0.390,0.485,0.731,0.52,0.73,0.43,-2.21,-0.62,-0.88
g,0.489,0.413,0.396,0.501,0.716,0.52,0.73,0.41,-2.25,-0.48,-0.13
g,0.485,0.402,0.398,0.529,0.660,0.53,0.73,0.43,-2.78,0.36,-0.89
g,0.486,0.395,0.386,0.542,0.669,0.52,0.74,0.43,-2.90,-0.18,-0.98
g,0.487,0.392,0.384,0.538,0.698,0.53,0.73,0.42,-2.64,-0.13,-0.13
g,0.487,0.390,0.386,0.562,0.710,0.53,0.72,0.42,-2.88,0.63,-0.48
g,0.485,0.396,0.381,0.501,0.745,0.53,0.73,0.44,-2.58,1.02,-0.98
g,0.485,0.401,0.394,0.511,0.765,0.53,0.74,0.43,-2.65,-0.53,-1.15
g,0.484,0.407,0.396,0.521,0.781,0.52,0.73,0.43,-2.98,0.52,-0.81
g,0.481,0.418,0.402,0.538,0.758,0.53,0.73,0.44,-3.18,-0.05,-0.21
g,0.484,0.446,0.447,0.475,0.822,0.53,0.73,0.43,-2.91,0.58,-0.52
g,0.484,0.456,0.430,0.491,0.830,0.53,0.72,0.43,-2.47,-0.26,-1.36
g,0.485,0.454,0.420,0.508,0.819,0.53,0.72,0.44,-2.37,-0.13,-0.95
g,0.481,0.445,0.417,0.514,0.807,0.52,0.74,0.43,-2.63,-0.10,-0.89
g,0.485,0.418,0.413,0.585,0.781,0.52,0.73,0.44,-2.68,-0.11,-0.69
g,0.486,0.413,0.398,0.563,0.791,0.54,0.73,0.43,-2.69,0.18,-0.70
g,0.483,0.402,0.396,0.554,0.810,0.52,0.73,0.44,-2.24,0.46,-0.99
g,0.483,0.392,0.394,0.517,0.786,0.52,0.73,0.43,-2.29,-0.05,-1.53
g,0.481,0.407,0.409,0.543,0.782,0.52,0.73,0.43,-2.92,-0.64,-1.15
g,0.479,0.389,0.397,0.535,0.759,0.52,0.74,0.43,-1.84,0.76,-0.37
g,0.481,0.403,0.404,0.528,0.753,0.53,0.74,0.43,-3.19,0.55,-1.33
g,0.484,0.407,0.407,0.523,0.768,0.53,0.73,0.43,-2.01,-0.88,-0.53
g,0.405,0.456,0.438,0.533,0.760,0.53,0.74,0.42,-2.81,-0.57,-0.89
g,0.415,0.446,0.427,0.536,0.743,0.54,0.74,0.43,-2.69,-0.71,-1.10
g,0.428,0.442,0.423,0.548,0.751,0.53,0.73,0.43,-3.08,0.23,-0.66
